vc,owner,managed_by_csa,env_name,server_group_name,vm_id,uuid,name,overall_status,ip_address,mac_address,datacenter,cluster_compute_resource,resource_pool
cdl,,N,,,vm-576,421fa267-2d9b-9b16-4225-5b3a8a7a7e40,1412baf9a920739_Linux23801,null,10.1.5.227,00:50:56:9f:5f:19,CSL,CSL-Lab1,CSL-Lab-Resourcepool
JJ,,N,,,vm-1593,42043531-d4d9-1208-508a-12748e47e92a,1B2B-new,null,n/a,00:50:56:84:71:74,CSL-JJ,C2,
JJ,,N,,,vm-5766,42044000-5177-ac61-5427-54390d4b17b7,2008R2-SA10,null,16.77.20.67,00:50:56:84:7d:2e,CSL-JJ,C2,
JJ,,N,,,vm-5161,42046699-4c9a-98c0-bbc8-024af20ef3f3,2a,null,16.77.19.206,00:50:56:84:39:06,CSL-JJ,C2,
AO,,N,,,vm-14691,422492b7-aa82-152a-d39b-30ef2aea33a7,3.2CSA-Dont-Delete,null,16.78.123.230,00:50:56:a4:05:3a,MiniLIT-Unit,Cloud-001,
JJ,,N,,,vm-4970,42040241-8d1e-72ee-98b3-5d6f2713caa9,AB_UnInstall_CSA401_0010.02,null,16.77.19.235,00:50:56:84:32:52,CSL-JJ,C2,
cdl,abhilash.reddy.devireddy,N,,,vm-2414,421ba8ee-268b-caea-4de0-0e52623c98b5,AbhiDevi-030514-90cd90b444961c7d014496513fe620a4,null,10.1.9.216,00:50:56:9b:42:88,CSL-Cluster,CSL,
AO,abhilash.reddy.devireddy,N,,,vm-31662,42243eff-979d-8bf5-906d-0aa27279a093,Abhi-SM-CSA-01,null,16.78.118.89,00:50:56:a4:60:fe,MiniLIT-Unit,n/a,
cdl,,N,,,vm-88,421f3999-e4df-3ec0-c0a1-5e98f8871c18,ACSAVC290d45,null,10.1.5.82,00:50:56:9f:69:f5,CSL-Cluster,CSL,
cdl,adil.rehan,Y,,,vm-20548,421bc586-65c8-b505-def0-db46a5ae76ee,AdilReha-220814-90cd90b3477e2ad50147fe91090d56bb,null,n/a,00:50:56:9b:72:e3,CSL-Cluster,CSL,
cdl,adil.rehan,Y,,,vm-20549,421bce53-f917-1c0d-1aed-54a3f32f4e6b,AdilReha-220814-90cd90b3477e2ad50147fe91097656d4-VM01,null,10.1.6.77,00:50:56:9b:4b:3f,CSL-Cluster,CSL,
AO,,N,,,vm-16280,4224f3a1-794a-1c60-6992-35eb2e745079,AdminNode,null,n/a,n/a,MiniLIT-Unit,Cloud-001,
AO,,N,,,vm-16643,422403dd-39e9-86e4-d51b-4ea89787342f,AdminNode2,null,n/a,n/a,MiniLIT-Unit,Cloud-001,
AO,,N,,,vm-16643,422403dd-39e9-86e4-d51b-4ea89787342f,AdminNode2,null,n/a,n/a,MiniLIT-Unit,Cloud-001,
JJ,,N,,,vm-5407,42041b66-466e-b5d3-51fb-717129bedc4f,AJ-Auto-CSA32,null,16.77.19.48,00:50:56:84:17:25,CSL-JJ,C2,
AO,,N,,,vm-19354,4224d1cb-5f96-4520-e739-7310ee0d9c31,AJ-CSAOO10-CSA32-002,null,16.78.124.144,00:50:56:a4:25:37,MiniLIT-Unit,Cloud-001,
JJ,,N,,,vm-321,4204db9a-f1b5-5ae4-bcd8-53dbb3ca104a,AJ-OO10-JJLab001,null,16.77.20.56,00:50:56:84:25:7e,CSL-JJ,C2,
JJ,,N,,,vm-5351,4204deab-1dc0-30cc-3659-5633b5ff4a59,AJ-Oracle-APEX,null,16.77.20.129,00:50:56:84:25:ca,CSL-JJ,C2,
JJ,,N,,,vm-5748,42041c70-b009-1afd-f187-231120dbbb86,AJ-TA-CSA40OO1002,null,16.77.19.200,00:50:56:84:31:36,CSL-JJ,C2,
